case_name,geom_file,Gx,tau_huang,thetaA_quartz_deg,thetaA_hydrate_deg,OUTPUT_EVERY,file_dir,hs_case_tag,hs_mode,hs_target_Sh
cgan_00028_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00028/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00028_Gx5e-05,cgan_00028,cgan,-1.0
cgan_00029_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00029/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00029_Gx1e-05,cgan_00029,cgan,-1.0
cgan_00029_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00029/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00029_Gx5e-05,cgan_00029,cgan,-1.0
cgan_00030_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00030/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00030_Gx1e-05,cgan_00030,cgan,-1.0
cgan_00030_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00030/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00030_Gx5e-05,cgan_00030,cgan,-1.0
cgan_00031_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00031/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00031_Gx1e-05,cgan_00031,cgan,-1.0
cgan_00031_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00031/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00031_Gx5e-05,cgan_00031,cgan,-1.0
cgan_00032_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00032/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00032_Gx1e-05,cgan_00032,cgan,-1.0
cgan_00032_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00032/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00032_Gx5e-05,cgan_00032,cgan,-1.0
cgan_00033_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00033/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00033_Gx1e-05,cgan_00033,cgan,-1.0
cgan_00033_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00033/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00033_Gx5e-05,cgan_00033,cgan,-1.0
